indeks_katalogowy,nazwa,zdjecie,rozmiar,material,vat,cena_FV_brutto,cena_detal,stan_magazynowy,producent,opis_tekstowy,jednostka_wymiaru,szerokosc,wysokosc,ostatnia_aktualizacja
6287/3,6287/3 OBRAZEK JAN PAWEŁ II 13x18 CM,https://wikomistral.ddns.net/Obrazki/6287.3_6287 święty.jpg,13x18 cm,Mirosilver,23,236.04,472.08,15,Beltrami s.r.l.,,cm,"13,000","18,000",2025-11-01 02:42:15
6323/2,6323/2 OBRAZEK MATKA BOŻA CZĘSTOCHOWSKA   6x9 CM,https://wikomistral.ddns.net/Obrazki/6323.2_6323_m.jpg,6x9 cm,Mirosilver,23,73.62,176.69,104,Beltrami s.r.l.,,cm,"6,000","9,000",2025-11-01 02:42:15
6323/2ORO,6323/2ORO OBRAZEK MATKA BOŻA              CZĘSTOCHOWSKA 6x9 CM,https://wikomistral.ddns.net/Obrazki/6323.2ORO_6323oro_m.jpg,6x9 cm,Mirosilver,23,75.95,182.28,62,Beltrami s.r.l.,,cm,"6,000","9,000",2025-11-01 02:42:15
6323/2X,6323/2X OBRAZEK MATKA BOŻA CZĘSTOCHOWSKA  9x13 CM,https://wikomistral.ddns.net/Obrazki/6323.2X_6323_m.jpg,9x13 cm,Mirosilver,23,114.51,251.92,83,Beltrami s.r.l.,,cm,"9,000","13,000",2025-11-01 02:42:15
6323/2XORO,6323/2XORO OBRAZEK MATKA BOŻA             CZĘSTOCHOWSKA 9x13 CM,https://wikomistral.ddns.net/Obrazki/6323.2XORO_6323oro_m.jpg,9x13 cm,Mirosilver,23,135.55,298.21,39,Beltrami s.r.l.,,cm,"9,000","13,000",2025-11-01 02:42:15
6323/3,6323/3 OBRAZEK MATKA BOŻA CZĘSTOCHOWSKA  13x18 CM,https://wikomistral.ddns.net/Obrazki/6323.3_6323_m.jpg,13x18 cm,Mirosilver,23,186.96,373.92,47,Beltrami s.r.l.,,cm,"13,000","18,000",2025-11-01 02:42:15
6323/3ORO,6323/3ORO OBRAZEK MATKA BOŻA              CZĘSTOCHOWSKA 13x18 CM,https://wikomistral.ddns.net/Obrazki/6323.3ORO_6323oro_m.jpg,13x18 cm,Mirosilver,23,217.34,434.68,19,Beltrami s.r.l.,,cm,"13,000","18,000",2025-11-01 02:42:15
6342/1A,6342/1A OBRAZEK PAMIĄTKA I KOMUNII ŚW.    7x9 CM,https://wikomistral.ddns.net/Obrazki/6342.1A_6342 A.jpg,7x9 cm,Mirosilver,23,71.28,171.07,359,Beltrami s.r.l.,,cm,"7,000","9,000",2025-11-01 02:42:15
6342/1AW,"6342/1AW OBRAZEK PAMIĄTKA I KOMUNII ŚW.  8,5x11 CM",https://wikomistral.ddns.net/Obrazki/6342.1AW_6342 AW.jpg,"8,5x11 cm",Mirosilver,23,47.23,122.80,43,Beltrami s.r.l.,WYMIAR OBRAZKA SREBRNEGO 7X9 CM,cm,"8,500","11,000",2025-11-01 02:42:15
6342/1O,6342/1O OBRAZEK PAMIĄTKA I KOMUNII ŚW.    7x9 CM,https://wikomistral.ddns.net/Obrazki/6342.1O_6342 O.jpg,7x9 cm,Mirosilver,23,71.28,171.07,352,Beltrami s.r.l.,,cm,"7,000","9,000",2025-11-01 02:42:15
