indeks_katalogowy,ilosc_wiko,nazwa_produktu,cena_FV_brutto,cena_detal,ostatnia_aktualizacja
6449/1COL,62,6449/1COL OBRAZEK ANIOŁEK 8x7 CM,31.49,81.87,2026-02-28 01:35:58
6449/1W,923,6449/1W OBRAZEK ANIOŁEK 10x9 CM,73.62,176.69,2026-02-28 01:35:58
6449/1WC,35,6449/1WC OBRAZEK ANIOŁEK 10x9 CM,73.62,176.69,2026-02-28 01:35:58
6449/1WR,39,6449/1WR OBRAZEK ANIOŁEK 10x9 CM,73.62,176.69,2026-02-28 01:35:58
6449/2,262,"6449/2 OBRAZEK ANIOŁEK 11x9,5 CM",93.48,224.35,2026-02-28 01:35:58
6449/2PG,6,"6449/2PG OBRAZEK ANIOŁEK 14x12,5 CM",101.66,223.65,2026-02-28 01:35:58
6449/2W,174,6449/2W OBRAZEK ANIOŁEK 14x12 CM,100.49,221.08,2026-02-28 01:35:58
6449/2WC,28,6449/2WC OBRAZEK ANIOŁEK 14x12 CM,100.49,221.08,2026-02-28 01:35:58
6449/2WR,28,6449/2WR OBRAZEK ANIOŁEK 14x12 CM,100.49,221.08,2026-02-28 01:35:58
6449/3,20,"6449/3 OBRAZEK ANIOŁEK 15,5x14 CM",146.06,321.33,2026-02-28 01:35:58
6449/3COL,0,"6449/3COL OBRAZEK ANIOŁEK 15,5x14 CM",65.93,158.23,2026-02-28 01:35:58
6449/3PG,3,"6449/3PG OBRAZEK ANIOŁEK 19x17,8 CM",63.90,153.36,2026-02-28 01:35:58
6449/3W,4,6449/3W OBRAZEK ANIOŁEK 19x18 CM,161.25,322.50,2026-02-28 01:35:58
6449/3WC,9,6449/3WC OBRAZEK ANIOŁEK 19x18 CM,161.25,322.50,2026-02-28 01:35:58
6449/3WR,20,6449/3WR OBRAZEK ANIOŁEK 19x18 CM,161.25,322.50,2026-02-28 01:35:58
